clusterid,startdate,tweetcount,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,2017-01-05 18:48:36,3,0.1866794871794872,0.1866794871794872,0.1866794871794872,0.1866794871794872,3.733589743589744,0.1866794871794872,3.733589743589744,3.733589743589744
1,2017-01-09 20:34:00,3,0.37992833742833737,0.37992833742833737,0.37992833742833737,0.37992833742833737,11.397850122850123,0.37992833742833737,0.37992833742833737,0.37992833742833737
2,2017-01-11 08:06:54,3,0.1671488469601677,1.6714884696016772,0.1671488469601677,1.6714884696016772,1.6714884696016772,0.1671488469601677,1.6714884696016772,1.6714884696016772
3,2017-01-13 13:10:16,3,0.29619047619047617,5.923809523809523,0.29619047619047617,0.29619047619047617,5.923809523809523,0.29619047619047617,0.29619047619047617,5.923809523809523
4,2017-01-25 12:11:15,3,0.32802469135802476,0.32802469135802476,0.32802469135802476,0.32802469135802476,0.32802469135802476,0.32802469135802476,0.32802469135802476,6.560493827160494
5,2017-02-02 18:33:09,3,5.443827160493826,0.27219135802469135,0.27219135802469135,0.27219135802469135,0.27219135802469135,0.27219135802469135,0.27219135802469135,0.27219135802469135
6,2017-02-13 20:33:31,3,0.3677777777777777,7.355555555555553,0.3677777777777777,0.3677777777777777,0.3677777777777777,0.3677777777777777,0.3677777777777777,0.3677777777777777
7,2017-03-02 18:19:13,3,0.39396153846153853,7.8792307692307695,0.39396153846153853,0.39396153846153853,7.8792307692307695,0.39396153846153853,0.39396153846153853,7.8792307692307695
8,2017-03-13 22:37:54,3,0.3712162162162162,0.3712162162162162,0.3712162162162162,0.3712162162162162,11.136486486486486,0.3712162162162162,0.3712162162162162,0.3712162162162162
9,2017-03-17 16:47:23,3,0.19672727272727272,5.901818181818181,0.19672727272727272,0.19672727272727272,0.19672727272727272,0.19672727272727272,0.19672727272727272,5.901818181818181
10,2017-03-24 13:31:40,3,0.3897633744855968,0.3897633744855968,0.3897633744855968,0.3897633744855968,0.3897633744855968,0.3897633744855968,0.3897633744855968,7.795267489711934
11,2017-03-30 09:04:54,3,0.42279012345679,8.4558024691358,0.42279012345679,0.42279012345679,0.42279012345679,0.42279012345679,0.42279012345679,0.42279012345679
12,2017-04-11 08:39:37,3,0.33096010296010286,9.928803088803086,0.33096010296010286,0.33096010296010286,0.33096010296010286,0.33096010296010286,0.33096010296010286,0.33096010296010286
13,2017-04-18 23:32:12,3,0.22283816425120775,4.456763285024155,0.22283816425120775,0.22283816425120775,0.22283816425120775,0.22283816425120775,0.22283816425120775,4.456763285024155
14,2017-04-25 12:14:29,3,0.2719400352733686,0.2719400352733686,0.2719400352733686,0.2719400352733686,5.438800705467371,0.2719400352733686,0.2719400352733686,0.2719400352733686
15,2017-05-07 15:32:37,3,0.2714814814814815,0.2714814814814815,0.2714814814814815,0.2714814814814815,5.42962962962963,0.2714814814814815,0.2714814814814815,0.2714814814814815
16,2017-05-18 19:47:08,3,0.5349382716049381,10.698765432098762,0.5349382716049381,0.5349382716049381,0.5349382716049381,0.5349382716049381,0.5349382716049381,0.5349382716049381
17,2017-05-23 16:57:29,3,0.17262289562289565,0.17262289562289565,0.17262289562289565,0.17262289562289565,5.178686868686869,0.17262289562289565,0.17262289562289565,5.178686868686869
18,2017-05-29 17:03:06,3,0.35319819819819825,0.35319819819819825,0.35319819819819825,0.35319819819819825,0.35319819819819825,0.35319819819819825,0.35319819819819825,10.595945945945944
19,2017-06-04 00:53:32,3,0.31756756756756754,9.527027027027026,0.31756756756756754,0.31756756756756754,0.31756756756756754,0.31756756756756754,0.31756756756756754,0.31756756756756754
20,2017-06-08 17:29:28,3,0.3467927927927928,0.3467927927927928,0.3467927927927928,0.3467927927927928,0.3467927927927928,0.3467927927927928,0.3467927927927928,10.403783783783783
21,2017-06-19 15:34:03,3,0.38382716049382715,7.6765432098765425,0.38382716049382715,0.38382716049382715,0.38382716049382715,0.38382716049382715,0.38382716049382715,0.38382716049382715
22,2017-06-29 17:09:37,3,0.2758205128205128,5.516410256410255,0.2758205128205128,0.2758205128205128,5.516410256410255,0.2758205128205128,0.2758205128205128,5.516410256410255
23,2017-07-09 17:24:11,3,0.6602059202059203,0.6602059202059203,0.6602059202059203,0.6602059202059203,19.80617760617761,0.6602059202059203,0.6602059202059203,0.6602059202059203
24,2017-07-17 20:21:59,3,0.22388007054673717,4.477601410934743,0.22388007054673717,0.22388007054673717,0.22388007054673717,0.22388007054673717,0.22388007054673717,0.22388007054673717
25,2017-07-22 10:03:16,3,0.24311594202898554,4.862318840579711,0.24311594202898554,0.24311594202898554,4.862318840579711,0.24311594202898554,0.24311594202898554,0.24311594202898554
26,2017-07-23 18:57:48,3,3.65356040564374,3.65356040564374,0.182678020282187,0.182678020282187,3.65356040564374,0.182678020282187,0.182678020282187,3.65356040564374
27,2017-07-24 17:02:18,3,0.2802512512512512,8.407537537537536,0.2802512512512512,0.2802512512512512,0.2802512512512512,0.2802512512512512,0.2802512512512512,0.2802512512512512
28,2017-08-02 11:58:23,3,0.14135087719298245,4.240526315789474,0.14135087719298245,0.14135087719298245,4.240526315789474,0.14135087719298245,0.14135087719298245,4.240526315789474
29,2017-08-07 18:04:10,3,0.3702027027027026,0.3702027027027026,0.3702027027027026,0.3702027027027026,0.3702027027027026,0.3702027027027026,0.3702027027027026,11.10608108108108
30,2017-08-21 17:01:29,3,0.2795747599451303,0.2795747599451303,0.2795747599451303,0.2795747599451303,0.2795747599451303,0.2795747599451303,0.2795747599451303,5.591495198902606
31,2017-08-28 17:33:06,3,0.2186419753086419,4.372839506172838,0.2186419753086419,0.2186419753086419,0.2186419753086419,0.2186419753086419,0.2186419753086419,0.2186419753086419
32,2017-09-05 17:30:06,3,0.4004504504504505,0.4004504504504505,0.4004504504504505,0.4004504504504505,12.013513513513514,0.4004504504504505,0.4004504504504505,0.4004504504504505
33,2017-09-12 19:00:04,3,0.3627146464646466,0.3627146464646466,0.3627146464646466,0.3627146464646466,10.881439393939395,0.3627146464646466,10.881439393939395,0.3627146464646466
34,2017-09-22 17:00:04,3,0.467037037037037,9.340740740740738,0.467037037037037,0.467037037037037,0.467037037037037,0.467037037037037,0.467037037037037,0.467037037037037
35,2017-09-29 11:33:58,3,0.4011936936936937,0.4011936936936937,0.4011936936936937,0.4011936936936937,12.03581081081081,0.4011936936936937,0.4011936936936937,0.4011936936936937
36,2017-10-11 09:49:10,3,0.21689646464646467,6.506893939393939,0.21689646464646467,0.21689646464646467,6.506893939393939,0.21689646464646467,0.21689646464646467,0.21689646464646467
37,2017-10-16 18:00:05,3,0.34916323731138543,0.34916323731138543,6.983264746227708,0.34916323731138543,0.34916323731138543,0.34916323731138543,0.34916323731138543,0.34916323731138543
38,2017-10-23 21:18:14,3,0.1732653721682848,3.465307443365696,0.1732653721682848,0.1732653721682848,3.465307443365696,3.465307443365696,3.465307443365696,3.465307443365696
39,2017-10-30 18:00:04,3,0.19311447811447813,0.19311447811447813,0.19311447811447813,0.19311447811447813,5.793434343434344,0.19311447811447813,0.19311447811447813,5.793434343434344
40,2017-11-08 18:30:01,3,0.2186490683229814,4.372981366459627,0.2186490683229814,0.2186490683229814,4.372981366459627,0.2186490683229814,0.2186490683229814,0.2186490683229814
41,2017-11-17 08:29:29,3,0.3122751322751322,0.3122751322751322,0.3122751322751322,0.3122751322751322,0.3122751322751322,6.245502645502644,0.3122751322751322,0.3122751322751322
42,2017-11-30 17:48:45,3,0.1762162162162162,5.286486486486485,0.1762162162162162,0.1762162162162162,0.1762162162162162,0.1762162162162162,0.1762162162162162,0.1762162162162162
43,2017-12-07 21:09:12,3,0.19965007215007216,0.19965007215007216,0.19965007215007216,0.19965007215007216,5.989502164502165,0.19965007215007216,0.19965007215007216,5.989502164502165
44,2017-12-16 20:57:18,3,0.2191077694235589,6.573233082706767,0.2191077694235589,0.2191077694235589,6.573233082706767,0.2191077694235589,0.2191077694235589,6.573233082706767
45,2017-12-20 18:02:08,3,0.1919047619047619,1.919047619047619,0.1919047619047619,0.1919047619047619,0.1919047619047619,1.919047619047619,1.919047619047619,0.1919047619047619
46,2017-12-30 09:00:06,1,0.4675714285714286,4.675714285714285,0.4675714285714286,0.4675714285714286,4.675714285714285,0.4675714285714286,4.675714285714285,0.4675714285714286
