word	valence	arousal	dominance
freeway	6.07	5.87	5.50
freezer	4.96	4.30	4.85
frenzy	4.97	6.86	4.41
friend	7.74	5.74	6.74
friendly	8.43	5.11	5.92
fries	6.81	4.97	5.97
fright	3.19	5.77	4.12
frightened	2.59	6.90	3.21
frigid	3.50	4.75	4.27
frog	5.71	4.54	5.34
frolic	6.64	5.04	5.29
frosting	7.23	5.47	5.53
frown	1.87	4.27	3.70
fruit	6.93	4.63	5.67
frustrated	2.48	5.61	3.50
frustration	2.42	6.19	3.62
fulfilled	7.27	5.10	6.86
fun	8.37	7.22	6.80
funeral	1.39	4.94	2.97
fungus	3.06	4.68	4.06
funny	8.56	7.00	6.15
fur	4.51	4.18	4.32
furious	1.96	7.64	5.32
furnace	4.81	4.81	4.97
furniture	5.93	4.17	5.52
fury	3.10	6.82	4.29
fuse	5.45	4.97	5.52
future	6.71	6.48	4.89
gadget	5.97	4.96	5.71
gaiety	6.00	4.96	5.32
gain	7.17	5.63	6.37
galaxy	6.21	5.96	4.29
gallery	6.03	4.07	4.73
gallon	5.03	4.63	4.83
game	6.98	5.89	5.70
gang	2.59	6.52	3.33
gangrene	2.28	5.70	3.36
garbage	2.98	5.04	4.24
garden	6.71	4.39	6.02
garlic	5.38	4.45	5.34
garment	6.07	4.49	5.30
garter	6.22	5.47	5.82
gas	4.43	5.20	4.60
gate	5.52	4.52	4.73
gem	6.65	5.71	5.35
gender	5.73	4.38	5.60
genius	7.39	6.11	6.39
gentle	7.31	3.21	5.10
germ	3.35	5.62	4.58
germs	2.86	4.49	3.79
ghost	4.42	6.19	3.55
gift	7.77	6.14	5.52
giggle	8.06	6.25	6.31
giraffe	6.64	5.00	5.04
girl	6.87	4.29	5.80
give	7.13	5.33	6.27
glacier	5.50	4.24	4.92
glad	7.77	5.70	6.53
glamour	6.76	4.68	5.76
glance	5.53	5.10	5.07
gland	4.83	4.18	4.79
glass	4.75	4.27	5.00
glasses	5.93	4.36	5.32
glaze	6.80	5.10	5.30
glide	6.38	4.82	5.89
gloat	4.30	4.52	5.41
gloom	1.88	3.83	3.55
glory	7.55	6.02	6.85
gloss	6.00	4.71	4.89
gnaw	3.73	4.40	4.57
goal	7.12	6.44	6.52
goat	5.26	4.07	5.47
god	8.15	5.95	5.88
gold	7.54	5.76	5.85
golf	4.83	3.90	4.83
golfer	5.61	3.73	5.55
good	7.47	5.43	6.41
goodness	7.41	4.87	6.29
gorilla	5.56	5.52	4.15
gossip	3.48	5.74	3.57
govern	4.50	4.53	4.33
government	4.28	5.25	3.62
grace	7.00	4.12	5.62
graduate	8.19	7.25	6.94
grafitti	4.82	5.32	5.11
grapes	6.61	4.67	5.40
grass	6.12	4.14	5.44
grateful	7.37	4.58	6.18
grave	2.18	4.78	2.52
gravy	6.00	4.63	5.43
greed	3.51	4.71	4.88
green	6.18	4.28	4.82
greet	7.00	5.27	5.95
grenade	3.60	5.70	4.29
greyhound	5.42	4.39	4.81
grief	1.69	4.78	3.50
grieve	2.27	5.60	2.90
grime	3.37	3.98	4.47
grin	7.40	5.27	6.00
grind	5.08	5.27	5.12
gripe	3.14	5.00	4.67
groceries	5.90	3.77	6.23
groom	6.53	5.23	5.90
gross	3.57	4.82	4.36
ground	5.36	4.14	5.14
grove	5.60	4.47	5.23
grovel	3.50	4.46	4.00
growl	4.11	5.93	5.52
guaranteed	7.14	4.93	6.39
guillotine	2.48	6.56	4.64
guilt	2.14	5.36	2.96
guilty	2.63	6.04	3.09
guitar	6.86	5.82	5.29
gulf	5.90	4.93	5.48
gun	3.47	7.02	3.53
guzzle	4.77	5.23	4.77
gym	6.21	6.14	5.89
gymnast	6.35	5.02	5.31
habit	4.11	3.95	4.30
hair	5.56	4.48	5.41
hairdryer	4.84	3.71	5.57
hairpin	5.26	3.27	5.05
ham	5.31	4.07	4.96
hamburger	6.27	4.55	5.32
hammer	4.88	4.58	4.75
hand	5.95	4.40	5.35
handicap	3.29	3.81	4.00
handicapped	3.23	4.55	3.40
hands	5.93	5.21	5.74
handsome	7.93	5.95	5.19
hang	4.33	5.40	4.33
haphazard	4.02	4.07	4.29
happiness	7.96	6.56	6.70
happy	8.21	6.49	6.63
harass	2.48	5.64	3.93
harassment	2.41	5.75	3.16
hard	5.22	5.12	5.59
hardship	2.45	4.76	4.22
harp	6.37	4.41	4.86
harsh	2.93	5.60	4.83
harvest	5.74	4.37	5.76
haste	4.15	5.04	4.19
hasten	4.90	4.90	4.67
hat	5.46	4.10	5.39
hate	2.12	6.95	5.05
hatred	1.98	6.66	4.30
haunt	3.48	6.60	3.72
haven	6.97	4.00	5.37
hawk	5.88	4.39	5.50
hay	5.24	3.95	5.37
head	6.63	5.70	6.03
headache	2.02	5.07	3.60
headlight	5.24	3.81	4.88
heal	7.09	4.77	5.79
health	6.81	5.13	5.83
heart	7.39	6.34	5.49
heat	4.30	5.70	4.17
heaven	7.30	5.61	6.15
heavy	3.69	4.58	4.10
heir	6.57	5.22	5.78
helium	5.29	4.71	4.85
hell	2.24	5.38	3.24
helpless	2.20	5.34	2.27
hen	5.10	3.79	5.10
herbal	5.92	3.62	5.29
herd	5.00	4.50	4.73
hero	7.59	6.41	5.90
heroin	4.36	5.11	4.80
herring	5.43	4.37	5.20
hide	4.32	5.28	3.40
high	6.62	5.56	5.38
highway	5.92	5.16	5.66
hiker	5.79	5.00	4.68
hill	5.32	3.75	5.00
hinder	3.81	4.12	4.21
hippotamus	6.41	4.36	4.93
hire	5.77	5.63	4.80
history	5.24	3.93	4.83
hit	4.33	5.73	4.88
hitch	5.03	4.25	5.00
hive	3.18	5.82	4.21
hobby	7.24	5.36	7.24
hockey	5.39	5.00	5.18
holiday	7.55	6.59	6.30
holy	6.36	5.36	4.68
home	7.91	4.21	5.90
homeless	2.06	4.59	3.31
honest	7.70	5.32	6.24
honesty	7.88	5.25	6.88
honey	6.73	4.51	5.44
honor	7.66	5.90	6.70
hooker	3.34	4.93	4.73
hope	7.05	5.44	5.52
hopeful	7.10	5.78	5.41
horrible	2.28	5.75	3.04
horror	2.76	7.21	4.63
horse	5.89	3.89	4.67
hose	5.25	4.82	5.36
hospital	5.04	5.98	4.69
hostage	2.20	6.76	2.83
hostile	2.73	6.44	4.85
hotel	6.00	4.80	5.12
hour	5.10	4.21	4.25
house	7.26	4.56	6.08
howl	4.90	5.27	4.43
hub	5.52	4.00	5.07
hug	8.00	5.35	5.79
huge	5.39	5.75	5.68
humane	6.89	4.50	5.70
humble	5.86	3.74	4.76
humiliate	2.24	6.14	2.60
humiliation	1.90	6.97	2.20
humor	8.56	5.50	6.08
hunger	2.76	5.36	3.93
hungry	3.58	5.13	4.68
hunter	4.90	5.86	5.70
hurl	3.12	5.40	4.36
hurricane	3.34	6.83	3.07
hurt	1.90	5.85	3.33
hydrant	5.02	3.71	5.53
hymn	6.13	4.33	5.30
hysterical	5.29	7.36	4.18
ice	5.92	4.67	5.04
icebox	4.95	4.17	5.05
idea	7.00	5.86	6.26
identity	6.57	4.95	6.40
idiot	3.16	4.21	3.18
idol	6.12	4.95	5.37
ignite	6.16	6.27	5.87
ignorance	3.07	4.39	4.41
ignore	3.15	4.67	3.56
illness	2.48	4.71	3.21
imagine	7.32	5.98	7.07
immature	3.39	4.15	4.85
immoral	3.50	4.98	4.66
impair	3.18	4.04	4.09
impart	4.97	3.86	5.45
impatient	3.63	5.57	4.23
impede	4.19	4.90	3.90
impose	3.66	5.28	4.45
impotent	2.81	4.57	3.43
impressed	7.33	5.42	5.51
improve	7.65	5.69	6.08
incentive	7.00	5.69	5.93
incubator	4.17	4.86	4.17
indict	4.29	4.93	4.36
indifferent	4.61	3.18	4.84
industry	5.30	4.47	4.91
infant	6.95	5.05	5.67
infatuated	5.77	6.27	4.77
infatuation	6.73	7.02	4.90
infect	2.42	5.38	3.42
infection	1.66	5.03	3.61
inferior	3.07	3.83	2.78
infest	2.85	5.19	3.62
inform	5.92	4.57	5.26
ingest	5.00	5.27	5.03
inhabitant	5.05	3.95	5.37
inject	3.34	5.54	3.89
injection	3.03	6.55	3.48
injure	2.55	5.53	3.86
injury	2.49	5.69	3.57
ink	5.05	3.84	4.61
innocence	6.54	4.79	5.75
innocent	6.51	4.21	5.28
insane	2.85	5.83	4.12
insect	4.07	4.07	4.56
insecure	2.36	5.56	2.33
insist	4.64	5.18	4.93
insolent	4.35	5.38	4.50
inspire	6.97	5.00	6.34
inspired	7.15	6.02	6.67
instrument	6.68	5.32	5.71
insult	2.29	6.00	3.62
intellect	6.82	4.75	6.30
intelligence	7.93	6.21	6.25
intent	5.00	4.73	4.96
intercourse	7.36	7.00	6.40
interest	6.97	5.66	5.88
interested	6.58	5.42	5.95
intimate	7.61	6.98	5.86
intoxicated	5.00	6.19	4.28
intruder	2.77	6.86	4.00
invade	3.41	6.00	4.25
invader	3.05	5.50	4.00
invent	6.73	6.20	6.47
invest	5.93	5.12	5.88
iron	4.90	3.76	5.10
irony	6.17	4.66	4.83
irritate	3.11	5.76	5.03
irritated	2.23	6.13	4.37
island	7.59	6.14	6.21
isolation	2.17	4.70	2.60
issue	4.13	5.40	4.63
item	5.26	3.24	5.26
ivy	4.11	5.11	4.67
jaguar	6.62	5.50	4.79
jail	1.95	5.49	3.81
jar	5.21	3.75	5.75
jealous	2.86	6.48	3.72
jealousy	2.51	6.36	3.80
jeans	6.43	4.74	5.89
jelly	5.66	3.70	4.53
jellyfish	4.76	6.04	4.29
jeopardy	6.45	5.18	4.93
jerk	2.86	5.21	4.64
jet	6.29	5.89	4.89
jewel	7.00	5.38	5.59
job	5.83	5.20	5.70
joke	8.10	6.74	6.15
jolly	7.41	5.57	6.39
journal	5.14	4.05	5.26
joy	8.60	7.22	6.28
joyful	8.22	5.98	6.60
judge	4.53	5.10	3.67
judgment	4.41	5.78	4.38
jug	5.24	3.88	5.05
jugs	5.65	5.23	5.00
juice	6.79	5.69	5.66
jumble	4.41	5.30	4.30
jungle	5.77	5.85	4.81
justice	7.78	5.47	6.47
keg	6.21	5.37	5.33
kerchief	5.11	3.43	5.25
kerosene	4.80	4.34	4.63
ketchup	5.60	4.09	5.29
kettle	5.22	3.22	5.00
key	5.68	3.70	4.98
kick	4.31	4.90	5.50
kid	6.42	5.35	6.03
kidnap	2.62	6.31	3.08
kidney	4.86	4.48	4.22
kids	6.91	5.27	5.07
killer	1.89	7.86	4.54
kind	7.59	4.46	5.95
kindness	7.82	4.30	5.67
king	7.26	5.51	7.38
kiss	8.26	7.32	6.93
kitten	6.86	5.08	6.86
knee	5.03	4.40	5.20
knife	3.62	5.80	4.12
knitting	4.94	2.88	5.41
knob	5.14	4.00	5.29
knot	4.64	4.07	4.67
know	6.93	5.77	6.90
knowledge	7.58	5.92	6.78
label	4.36	3.96	4.83
lack	3.21	4.21	4.11
lad	5.44	4.06	5.28
ladder	5.06	4.97	5.10
lake	6.82	3.95	4.90
lamb	5.89	3.36	4.91
lame	3.66	3.69	4.83
lamp	5.41	3.80	5.27
land	5.66	4.16	5.53
lane	5.39	4.64	5.54
lantern	5.57	4.05	5.07
laugh	8.36	7.39	6.64
laughter	8.45	6.75	6.45
lava	4.43	5.57	3.54
lavish	6.21	4.93	5.64
law	5.10	4.25	4.11
lawn	5.24	4.00	5.37
lawsuit	3.37	4.93	3.92
lawyer	5.70	5.85	4.89
lazy	4.38	2.65	4.07
leader	7.63	6.27	7.88
leak	3.07	4.63	3.87
learn	7.15	5.39	6.34
lease	4.45	4.70	4.70
leave	3.83	4.36	4.36
leaves	6.07	3.80	4.80
ledge	4.13	5.35	4.10
leg	5.71	4.50	5.36
legend	6.39	4.88	5.54
legs	5.93	4.69	5.97
leisurely	6.88	3.80	5.15
leopard	5.97	5.57	4.57
leprosy	2.09	6.29	4.00
lesbian	4.67	5.12	5.35
lesson	5.07	4.04	5.04
letter	6.61	4.90	5.73
liar	2.41	6.38	3.34
liberty	7.98	5.60	6.29
lice	2.31	5.00	3.95
lick	6.27	5.70	5.90
lid	5.03	3.66	5.14
lie	2.79	5.96	3.30
life	7.27	6.02	5.72
lightbulb	5.61	4.10	5.82
lighthouse	5.89	4.41	5.25
lightning	4.57	6.61	3.67
like	7.52	6.63	5.41
limb	5.03	4.53	5.30
limber	5.68	4.57	5.34
limp	3.71	4.29	4.43
linger	4.44	4.92	5.12
lion	5.57	6.20	4.12
lips	7.13	6.27	5.60
liquor	4.93	5.66	4.86
listen	5.93	4.45	5.76
listless	4.12	4.10	4.14
liter	5.00	4.33	5.37
litter	3.96	4.77	4.85
lively	7.20	5.53	6.09
lizard	5.23	5.13	4.97
location	5.36	4.11	5.39
locker	5.19	3.38	5.36
loneliness	1.61	4.56	2.51
lonely	2.17	4.51	2.95
loosen	5.59	4.50	6.11
lose	2.81	4.93	3.33
loser	2.25	4.95	3.02
loss	1.89	5.78	2.38
lost	2.82	5.82	2.86
lotion	5.90	5.52	5.70
lottery	6.57	5.36	4.81
loud	4.77	6.10	5.07
lounge	6.60	3.97	5.90
louse	2.81	4.98	3.57
love	8.72	6.44	7.11
loved	8.64	6.38	6.62
loving	8.28	6.21	6.29
lower	4.00	4.36	4.18
loyal	7.55	5.16	6.91
luck	7.41	6.45	4.97
lucky	8.17	6.53	6.05
luggage	6.33	5.70	5.23
lump	4.16	4.80	4.32
lunch	7.21	5.43	6.10
lung	5.21	4.50	4.64
lurk	4.20	5.73	4.00
luscious	7.50	5.34	5.68
lust	7.12	6.88	5.49
luxury	7.88	4.75	6.40
machine	5.09	3.82	5.23
mad	2.44	6.76	5.86
madman	3.91	5.56	4.79
madness	4.37	5.80	4.53
magazine	5.79	4.82	4.93
maggot	2.06	5.28	4.03
magical	7.46	5.95	5.73
magnet	5.31	4.72	5.21
maid	5.56	5.20	5.72
mail	6.88	5.63	5.67
makeup	5.64	4.48	5.59
malaria	2.40	4.40	3.22
male	5.84	4.90	5.32
malice	2.69	5.86	4.74
malnutrition	2.06	5.68	4.00
malt	6.17	4.83	5.38
man	6.73	5.24	5.53
mane	5.40	4.33	4.90
mangle	3.90	5.44	4.61
maniac	3.76	5.39	4.22
manner	5.64	4.56	5.05
manor	5.61	4.74	5.41
mansion	7.24	6.03	5.86
mantel	4.93	3.27	4.95
manure	3.10	4.17	4.67
map	5.14	4.07	5.28
margin	4.79	3.61	4.85
market	5.66	4.12	5.27
marrow	4.46	4.26	4.41
marry	6.68	6.14	5.18
marsh	4.67	4.15	4.67
marvel	7.06	5.20	4.93
mascot	6.29	5.10	5.39
mask	5.23	4.58	5.42
massacre	2.28	5.33	3.50
mastectomy	2.89	5.11	3.75
masterful	7.09	5.20	7.18
mastery	6.69	5.62	7.28
masturbate	5.45	5.67	5.63
matador	5.10	5.57	4.89
mate	6.87	6.30	5.48
material	5.26	4.05	5.12
math	3.81	4.62	4.44
me	8.06	5.97	7.88
meal	7.59	5.79	6.41
measles	2.74	5.06	4.13
meat	6.66	5.41	6.03
meddle	4.07	5.10	4.87
medicine	5.67	4.40	4.70
meek	3.87	3.80	3.67
melody	7.07	4.98	5.46
melt	5.28	4.93	4.86
member	5.83	5.03	5.30
memorial	4.68	4.87	4.42
memories	7.48	6.10	5.88
memory	6.62	5.42	5.11
men	6.66	5.69	6.17
menace	2.88	5.52	4.98
mend	6.17	4.93	5.82
menu	6.37	4.77	6.00
mercy	5.71	5.43	3.70
merger	5.06	4.31	5.16
merry	7.90	5.90	6.64
messy	3.15	3.34	4.75
metal	4.95	3.79	5.38
meteor	5.57	5.83	3.33
method	5.56	3.85	5.67
midnight	7.18	6.50	5.96
mighty	6.54	5.61	7.23
mildew	3.17	4.08	4.40
mile	5.24	4.69	5.31
military	5.54	5.35	4.65
milk	5.95	3.68	5.83
millionaire	8.03	6.14	6.97
mind	6.68	5.00	6.37
mingle	6.66	5.88	5.97
miracle	8.60	7.65	5.35
mischief	5.57	5.76	5.56
miserable	1.55	5.00	2.43
misery	1.93	5.17	2.55
missiles	3.17	6.69	3.14
missles	3.33	5.94	3.25
mistake	2.86	5.18	3.86
mitten	5.59	3.78	4.63
mob	3.27	6.11	3.32
mobility	6.83	5.00	6.43
model	7.10	6.00	4.86
modest	5.76	3.98	4.96
moist	5.52	4.55	5.03
mold	3.55	4.07	4.33
molest	1.90	5.20	3.23
moment	5.76	3.83	4.81
money	7.59	5.70	6.25
monk	5.18	3.39	4.89
monopoly	6.40	5.24	5.70
month	5.15	4.03	4.85
mood	5.60	4.73	5.60
moody	3.20	4.18	4.39
moon	6.74	4.60	4.80
moral	6.20	4.49	5.90
morale	6.57	5.00	5.75
morbid	2.87	5.06	4.34
morgue	1.92	4.84	3.61
moron	3.77	5.70	4.60
morsel	5.47	4.83	5.17
mosquito	2.80	4.78	4.51
moss	4.59	3.57	4.54
motel	4.43	4.93	4.32
moth	4.66	4.00	5.00
mother	8.39	6.13	5.74
motorcycle	5.72	6.46	5.14
mountain	6.59	5.49	5.46
mourn	1.80	5.87	2.87
mouth	5.46	4.79	5.93
movie	6.86	4.93	5.00
mucus	3.34	3.41	4.80
mud	4.81	3.81	5.30
muddy	4.44	4.13	4.73
muffin	6.57	4.76	5.51
muffle	4.47	4.90	4.53
mug	5.42	4.61	5.13
mule	5.15	4.27	5.08
murderer	1.53	7.47	3.77
muscular	6.82	5.47	6.58
museum	5.54	3.60	5.32
mushroom	5.78	4.72	5.52
music	8.13	5.32	6.39
musician	7.21	6.10	5.93
mutation	3.91	4.84	4.07
mutilate	1.82	6.41	3.41
mutilation	1.97	6.07	2.97
mystic	6.00	4.84	5.52
myth	5.86	5.50	4.82
nab	4.16	5.32	5.20
nag	2.90	5.40	4.27
nail	5.14	4.57	5.25
naked	6.34	5.80	6.00
name	5.55	4.25	5.16
napkin	4.84	4.00	5.13
narcotic	4.29	4.93	4.44
nasty	3.58	4.89	5.00
nation	6.17	4.60	5.27
natural	6.59	4.09	5.57
nature	7.65	4.37	4.95
necklace	6.39	4.87	5.50
nectar	6.90	3.89	4.54
needle	3.82	5.36	3.95
neglect	2.63	4.83	3.85
nerves	4.28	6.31	4.72
nervous	3.29	6.59	3.56
nestle	6.63	4.10	5.97
net	4.80	4.83	4.93
neurotic	4.45	5.13	4.41
news	5.30	5.17	4.60
newspaper	5.52	4.42	5.26
nice	6.55	4.38	5.58
niece	6.33	4.60	5.40
night	6.06	5.94	4.74
nightmare	1.91	7.59	3.68
nine	5.07	4.04	5.18
nip	4.59	5.04	5.04
nipple	6.27	5.56	5.57
noise	4.93	4.86	4.61
noisy	5.02	6.38	4.93
nonchalant	4.74	3.12	4.31
nonsense	4.61	4.17	4.90
noon	6.30	3.65	5.08
noose	3.76	4.39	4.17
nose	4.71	4.32	4.93
nosey	3.97	4.48	4.63
nourish	6.46	4.29	5.80
novel	6.07	4.61	5.82
novice	4.28	3.69	4.62
nozzle	4.83	4.60	5.00
nuclear	3.25	5.86	3.41
nude	6.82	6.41	5.96
nudist	5.89	6.18	5.39
nuisance	3.27	4.49	4.36
number	5.55	4.34	5.24
nun	4.93	2.93	4.93
nurse	6.08	4.84	4.84
nursery	5.73	4.04	5.18
oasis	7.79	5.04	6.11
oath	5.57	4.80	5.07
obesity	2.73	3.87	3.74
obey	4.52	4.23	4.26
object	5.20	4.04	5.29
obnoxious	3.50	4.74	5.39
obscene	4.23	5.04	4.48
obsessed	3.60	6.24	4.24
obsession	4.52	6.41	4.77
obstinate	4.60	3.97	4.86
ocean	7.12	4.95	5.53
octopus	6.03	5.20	4.87
odd	4.82	4.27	4.77
odor	2.52	5.13	4.23
offend	2.76	5.56	3.73
office	5.24	4.08	5.59
officer	3.72	5.55	4.07
oil	4.60	4.72	4.72
old	3.31	3.50	3.29
omelet	6.48	4.52	5.40
omit	4.19	4.00	4.73
onion	4.43	4.60	4.97
opera	4.84	3.97	5.07
opinion	6.28	4.89	5.53
opportunity	7.41	6.47	6.59
oppose	4.14	5.29	5.14
optimism	6.95	5.34	6.61
optimistic	7.59	5.83	7.00
option	6.49	4.74	6.34
orange	6.47	4.97	5.31
orangutan	6.59	4.64	4.68
orchestra	6.02	3.52	5.17
ordeal	3.77	4.92	4.42
organ	5.24	4.54	4.96
orgasm	8.32	8.10	6.83
orphan	2.29	5.35	3.87
ounce	5.50	4.41	4.97
outdoors	7.47	5.92	6.27
outlet	5.52	3.97	5.55
outrage	3.52	6.83	5.26
outstanding	7.75	6.24	6.40
oven	5.71	3.78	5.41
overcast	3.65	3.46	4.20
overweight	2.00	5.52	4.19
overwhelmed	4.19	7.00	3.89
owe	3.25	5.68	3.07
owl	5.80	3.98	5.82
pacify	6.10	4.23	5.33
packet	4.69	4.27	4.73
pact	6.20	5.20	6.30
pail	5.04	3.64	5.43
pain	2.13	6.50	3.71
paint	5.62	4.10	5.75
painting	6.59	5.00	5.81
palace	7.19	5.10	5.69
pale	3.17	3.50	4.32
pamphlet	4.79	3.62	4.63
pan	5.46	4.54	5.54
pancakes	6.08	4.06	5.76
pang	4.27	5.90	4.48
panic	3.12	7.02	3.20
pant	4.61	5.14	4.86
pantry	6.58	4.57	5.63
pantyhose	5.86	5.07	5.29
paper	5.20	2.50	4.47
paradise	8.72	5.12	6.03
paralysis	1.98	4.73	2.56
parch	3.27	4.72	4.25
parlor	5.40	3.83	5.47
parrot	6.94	5.37	4.53
part	5.11	3.82	4.75
party	7.86	6.69	5.83
passage	5.28	4.36	5.02
passion	8.03	7.26	6.13
passive	4.17	3.69	4.17
pasta	6.69	4.94	5.80
pastry	7.18	5.79	5.64
patent	5.29	3.50	4.90
path	5.74	4.84	5.97
patient	5.29	4.21	4.90
patio	5.83	3.75	5.21
patriot	6.71	5.17	5.90
patriotic	6.62	5.54	6.35
patriotism	6.85	5.56	6.52
pea	5.26	3.45	5.39
peace	7.72	2.95	5.45
peaceful	7.77	2.87	5.70
peanut	5.56	3.74	5.11
pear	6.52	3.96	5.37
pecan	5.68	4.04	5.07
pee	5.41	4.84	6.06
peep	4.64	4.71	4.79
penalty	2.83	5.10	3.95
pencil	5.22	3.14	4.78
penis	5.90	5.54	5.92
penny	5.06	3.52	5.06
penthouse	6.81	5.52	6.52
people	7.33	5.94	6.14
perfection	7.25	5.95	6.71
perfume	6.76	5.05	5.93
period	3.80	4.30	3.80
perish	2.90	5.30	3.20
permit	5.47	5.08	5.17
person	6.32	4.19	5.35
personality	7.48	5.88	5.50
pervert	2.79	6.26	4.72
pessimism	3.10	4.74	4.48
pest	3.13	5.62	5.29
pester	2.77	5.77	4.60
pet	6.79	5.10	5.85
phase	5.17	3.98	4.65
photo	6.77	5.63	5.70
picket	4.97	4.45	5.55
picnic	7.07	5.18	5.93
pie	6.41	4.20	5.35
pier	6.61	5.32	5.71
pierce	4.35	5.81	4.97
pig	5.07	4.20	5.34
pigeon	4.93	4.92	5.68
pill	4.81	4.63	5.13
pillow	7.92	2.97	4.56
pilot	6.11	5.07	5.39
pin	4.50	5.17	4.77
pinch	3.83	4.59	4.76
pint	5.41	5.04	5.18
pipe	5.52	4.69	5.66
pistol	4.20	6.15	5.05
pity	3.37	3.72	4.12
pizza	6.65	5.24	5.69
plain	4.39	3.52	4.71
plan	6.47	4.77	6.55
plane	6.43	6.14	4.78
planet	5.69	4.34	4.47
plant	5.98	3.62	4.71
plate	5.30	4.00	5.55
play	8.10	6.93	6.97
plaza	5.59	3.89	5.21
plea	4.04	5.11	3.96
plead	3.74	5.00	4.06
pleased	7.79	5.68	6.29
pleasure	8.28	5.74	6.15
pledge	5.62	4.92	4.50
plod	4.74	3.80	4.77
poach	3.76	5.24	4.59
poem	6.48	4.59	5.34
poet	6.46	4.67	4.81
poetry	5.86	4.00	5.31
poise	6.90	5.33	6.63
poison	1.98	6.05	3.10
poker	6.31	5.64	5.46
pole	5.13	4.35	5.32
police	4.17	6.27	3.30
policy	4.50	4.30	4.03
politeness	7.18	3.74	5.74
politics	3.97	5.48	4.00
pollen	3.31	4.69	3.91
pollute	1.85	6.08	4.92
pollution	2.43	5.77	3.66
pond	6.14	4.10	5.38
pony	6.00	5.07	5.29
pool	7.70	5.90	5.93
poor	2.28	5.21	2.68
popcorn	6.93	4.89	5.42
porch	6.14	3.82	5.39
pork	6.20	4.77	5.30
porpoise	5.93	4.37	5.07
position	5.74	5.10	6.13
positive	8.07	5.57	6.19
poster	5.34	3.93	4.91
potential	7.00	5.93	6.50
pout	2.83	5.07	4.10
poverty	1.67	4.87	3.21
power	6.54	6.67	7.28
powerful	6.84	5.83	7.19
prairie	5.75	3.41	4.62
praise	7.24	6.28	6.59
pray	6.23	4.57	5.40
prayer	6.24	5.14	5.64
preach	5.41	5.89	4.31
prefer	6.00	4.50	5.47
pregnant	4.30	6.37	4.11
preoccupied	4.03	4.93	4.31
present	6.95	5.12	5.83
president	5.20	5.63	4.77
press	4.81	4.61	4.58
pressure	3.38	6.07	3.45
prestige	7.26	5.86	6.90
pretty	7.75	6.03	5.50
price	3.83	4.87	4.10
prick	3.98	4.70	4.47
pride	7.00	5.83	7.06
priest	6.42	4.41	4.88
prince	7.03	6.07	5.59
princess	7.08	5.46	6.32
prison	2.05	5.70	4.20
privacy	5.88	4.12	5.66
problem	2.74	5.81	4.04
procedure	4.55	4.68	4.71
profit	7.63	6.68	5.85
progress	7.73	6.02	6.76
promotion	8.20	6.44	6.79
propeller	5.43	4.43	5.33
proper	5.93	3.56	5.04
prose	5.56	4.41	5.26
prostitute	4.24	5.60	5.64
protected	7.29	4.09	5.80
proud	8.03	5.56	6.74
pry	3.47	5.03	4.33
pub	6.35	5.48	6.19
puddle	5.07	4.14	4.68
pulp	5.00	4.03	5.00
pulpit	5.45	4.11	5.11
pun	6.20	4.60	5.27
pungent	3.95	4.24	4.78
punish	1.92	6.69	2.65
punishment	2.22	5.93	3.50
punk	4.37	4.59	5.23
puppy	7.56	5.85	5.51
purify	6.63	4.90	5.63
pus	2.86	4.82	4.35
pushy	3.30	6.00	3.73
putrid	2.38	5.74	4.89
python	4.05	6.18	4.52
quality	6.25	4.48	5.64
quarrel	2.93	6.29	4.02
quart	5.39	3.59	5.20
queen	6.44	4.76	5.49
quench	5.52	3.93	5.71
quick	6.64	6.57	6.57
quiet	5.58	2.82	4.42
quilt	6.38	4.31	5.48
quit	2.46	4.82	3.64
rabbit	6.57	4.02	6.08
rabies	1.77	6.10	3.85
race	6.07	5.43	5.17
rack	6.19	5.15	5.37
radar	4.54	5.57	4.64
radiant	6.73	5.39	5.61
radiator	4.67	4.02	4.81
radio	6.73	4.78	5.28
raft	5.72	5.04	4.89
rag	3.70	3.70	4.22
rage	2.41	8.17	5.68
rain	5.08	3.65	4.78
rainbow	8.14	4.64	4.72
raise	6.67	5.63	5.77
rally	6.23	6.50	5.57
ramble	4.23	4.53	4.47
rancid	4.34	5.04	4.59
randy	5.77	4.71	5.13
rape	1.25	6.81	2.97
rash	2.54	5.43	3.68
rat	3.02	4.95	4.55
rattle	5.03	4.36	4.17
raw	4.32	5.04	5.22
razor	4.81	5.36	4.91
react	5.63	5.87	5.53
ready	6.23	5.23	6.55
realize	6.25	5.26	5.30
reap	5.50	4.89	5.43
rebuff	5.00	4.64	4.86
recede	4.19	4.08	4.62
recipe	6.70	5.60	6.10
red	6.41	5.29	5.78
redeem	7.47	5.43	6.20
reef	6.97	5.52	4.97
refine	5.50	4.48	5.71
reflection	5.97	4.38	6.10
refreshment	7.44	4.45	5.00
refrigerator	6.14	4.66	6.28
refugee	3.65	5.04	3.69
refute	4.57	5.07	4.90
regime	4.88	4.88	4.97
regret	2.26	5.67	3.23
regretful	2.28	5.74	3.43
reign	5.82	4.93	6.57
rejected	1.50	6.37	2.72
rejection	1.77	6.00	2.17
relate	6.04	4.33	5.41
relax	7.87	2.47	6.37
relaxed	7.00	2.39	5.55
relent	4.30	4.74	4.15
relic	5.76	5.16	5.84
relief	6.81	4.17	5.60
