word	valence	arousal	dominance
bell	5.38	4.45	5.10
belly	4.96	4.33	4.96
belong	6.46	5.64	5.75
bench	4.61	3.59	4.68
benefit	6.59	5.14	6.03
berate	3.53	5.47	3.83
bereavement	4.57	4.20	4.33
betray	1.68	7.24	4.92
beverage	6.83	5.21	5.63
beware	3.52	6.38	3.69
bib	5.57	4.37	4.77
bible	5.97	4.57	4.47
bicker	3.21	5.36	4.61
bicyclist	5.40	4.93	5.13
bikini	6.47	6.27	5.20
binge	3.25	4.94	4.28
binoculars	6.18	4.44	6.19
bird	7.27	3.17	4.42
birth	7.64	6.82	4.96
birthday	7.84	6.68	5.89
bitch	3.00	6.36	4.36
black	5.39	4.61	5.14
blackmail	2.95	6.03	3.54
blade	4.30	6.07	4.87
blame	2.77	4.93	3.47
bland	4.10	3.29	4.88
blanket	6.94	3.41	5.75
blase	4.89	3.94	4.57
blasphemy	3.75	4.93	4.75
bleed	2.97	5.64	3.93
bless	7.19	4.05	5.52
blight	4.03	4.66	4.40
blind	3.05	4.39	3.28
bliss	6.95	4.41	6.12
blister	2.88	4.10	3.98
blob	5.23	4.81	5.70
blond	6.43	5.07	5.74
blonde	6.18	4.86	5.14
blood	3.64	6.00	4.54
bloody	2.90	6.41	3.96
bloom	7.21	4.96	5.36
blossom	7.26	5.03	5.53
blouse	5.75	4.43	4.71
blowdryer	5.31	3.84	5.41
blubber	3.52	4.57	3.86
blue	6.76	4.31	5.63
blues	4.11	3.46	4.75
blurt	4.48	5.36	4.75
board	4.82	3.36	4.98
boat	7.79	5.31	5.66
body	5.55	5.52	5.34
bold	6.80	5.60	6.67
bolt	5.42	5.73	5.08
bomb	2.10	7.15	4.54
bone	5.00	4.62	4.88
bonus	8.00	6.83	6.83
book	5.72	4.17	5.30
boom	5.10	6.67	4.60
boost	6.33	5.52	5.14
booth	5.20	4.20	5.23
boots	5.97	4.67	5.77
bored	2.95	2.83	4.11
boring	3.38	2.29	4.18
bothered	3.00	6.17	4.17
bottle	6.15	4.79	4.78
bounty	5.08	5.64	4.96
bouquet	7.02	5.46	6.15
bowl	5.33	3.47	4.69
boxer	5.51	5.12	5.10
boy	6.32	4.58	5.34
boyfriend	5.74	5.73	4.67
bracelet	6.17	5.10	5.47
braces	3.17	5.24	3.90
brain	6.70	5.53	5.93
brave	7.15	6.15	7.22
break	4.59	5.23	5.26
breast	6.50	5.37	5.39
breath	6.07	4.77	6.00
breathless	4.54	5.85	4.31
breeze	6.85	4.37	5.54
bribe	4.14	6.00	4.48
brick	4.79	4.46	5.14
bride	7.34	5.55	5.74
bridge	5.26	5.03	4.68
bright	7.50	5.40	6.34
broken	3.05	5.43	4.14
brood	4.57	4.63	5.21
broom	4.83	3.23	5.23
broth	5.23	3.93	5.33
brother	7.11	4.71	5.12
brow	5.30	3.57	5.13
brownie	7.33	6.10	5.97
bruise	3.38	5.93	4.52
brutal	2.80	6.60	4.59
bucket	5.10	4.17	5.34
buffalo	6.04	4.59	4.30
bug	3.73	5.57	4.50
bugle	5.27	4.73	5.03
building	5.29	3.92	5.25
bulb	5.17	4.24	5.10
